EIC,BNA-ID,Name BNA,Plant & Block name,Year,Generation elec. [MWh_el]
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2016,2796586.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2017,1796371.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2018,1741338.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2019,740499.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2020,374569.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2021,914717.000
11WD7BERG1S--A-X,BNA0067,Bergkamen A,Bergkamen A,2022,2025901.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2016,3853243.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2017,3527767.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2018,3874468.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2019,2762964.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2020,3104985.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2021,2594696.000
11WD8BOXB1L---N8,BNA0122,Boxberg Block N,Boxberg N,2022,3634225.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2016,3704029.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2017,3677257.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2018,3560197.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2019,3674633.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2020,2501534.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2021,3260569.000
11WD8BOXB1L---P4,BNA0123,Boxberg Block P,Boxberg P,2022,3174565.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2016,4942260.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2017,6814103.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2018,5638488.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2019,6441879.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2020,4530842.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2021,5514886.000
11WD8BOXB1L---Q2,BNA0124,Boxberg Block Q,Boxberg Q,2022,6243320.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2016,4443033.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2017,3414023.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2018,4214045.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2019,4088166.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2020,3692609.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2021,2787492.000
11WD8BOXB1L---R0,BNA1404,Boxberg Block R,Boxberg R,2022,4325589.000
